School Name,Type,City,State,Country,Address,ZIP,Phone,CEEB Code,Federal School Code,Website,Notes
Abraham Lincoln High School,High School,Los Angeles,CA,USA,3501 N Broadway,90031,(323) 441-3650,052460,,,California High School
Alexander Hamilton High School,High School,Los Angeles,CA,USA,2955 S Robertson Blvd,90034,(310) 280-1400,050010,,,California High School
Beverly Hills High School,High School,Beverly Hills,CA,USA,241 Moreno Dr,90212,(310) 229-3685,050360,,,California High School
Birmingham Community Charter High School,High School,Van Nuys,CA,USA,17000 Haynes St,91406,(818) 894-5890,050375,,,California High School
Brentwood School,High School,Los Angeles,CA,USA,100 S Barrington Pl,90049,(310) 476-9633,050585,,,California High School
Canoga Park High School,High School,Canoga Park,CA,USA,6850 Topanga Canyon Blvd,91303,(818) 346-5608,050935,,,California High School
Crenshaw High School,High School,Los Angeles,CA,USA,5010 11th Ave,90043,(323) 290-6980,051075,,,California High School
Dorsey High School,High School,Los Angeles,CA,USA,3537 Farmdale Ave,90016,(323) 731-8500,051135,,,California High School
El Camino Real Charter High School,High School,Woodland Hills,CA,USA,5440 Valley Circle Blvd,91367,(818) 595-7500,051215,,,California High School
Fairfax High School,High School,Los Angeles,CA,USA,7850 Melrose Ave,90046,(323) 370-1200,051280,,,California High School
Franklin High School,High School,Los Angeles,CA,USA,820 N Avenue 54,90042,(323) 481-7920,051335,,,California High School
Garfield High School,High School,Los Angeles,CA,USA,5101 E 6th St,90022,(323) 581-6501,051405,,,California High School
Granada Hills Charter High School,High School,Granada Hills,CA,USA,10535 Zelzah Ave,91344,(818) 360-2361,051445,,,California High School
Hollywood High School,High School,Los Angeles,CA,USA,1521 N Highland Ave,90028,(323) 993-1700,051740,,,California High School
John Marshall High School,High School,Los Angeles,CA,USA,3939 Tracy St,90027,(323) 671-8001,051990,,,California High School
Monroe High School,High School,Sepulveda,CA,USA,9229 Haskell Ave,91343,(818) 830-1700,052190,,,California High School
Palisades Charter High School,High School,Pacific Palisades,CA,USA,15777 Bowdoin St,90272,(310) 230-6623,052440,,,California High School
Roosevelt High School,High School,Los Angeles,CA,USA,456 S Mathews St,90033,(323) 267-4100,052670,,,California High School
San Fernando High School,High School,San Fernando,CA,USA,11133 O'Melveny Ave,91340,(818) 365-4631,052750,,,California High School
Taft High School,High School,Woodland Hills,CA,USA,5461 Winnetka Ave,91364,(818) 609-6100,052975,,,California High School
University High School,High School,Los Angeles,CA,USA,11800 Texas Ave,90025,(310) 914-3500,053035,,,California High School
Venice High School,High School,Los Angeles,CA,USA,13000 Venice Blvd,90066,(310) 577-4200,053060,,,California High School
Washington Prep High School,High School,Los Angeles,CA,USA,10860 S Denker Ave,90047,(323) 753-7141,053120,,,California High School
Foothill High School,High School,Santa Ana,CA,USA,19251 Dodge Ave,92705,(714) 730-7464,051325,,,California High School
Fountain Valley High School,High School,Fountain Valley,CA,USA,17816 Bushard St,92708,(714) 964-7766,051330,,,California High School
Huntington Beach High School,High School,Huntington Beach,CA,USA,1905 Main St,92648,(714) 536-2514,051780,,,California High School
Irvine High School,High School,Irvine,CA,USA,4321 Walnut Ave,92604,(949) 936-7000,051830,,,California High School
Laguna Beach High School,High School,Laguna Beach,CA,USA,625 Park Ave,92651,(949) 497-7750,052100,,,California High School
Newport Harbor High School,High School,Newport Beach,CA,USA,600 Irvine Ave,92663,(949) 515-6300,052270,,,California High School
Santa Ana High School,High School,Santa Ana,CA,USA,520 W Walnut St,92701,(714) 558-5515,052800,,,California High School
Santa Margarita Catholic High School,High School,Rancho Santa Margarita,CA,USA,22062 Antonio Pkwy,92688,(949) 766-6000,052835,,,California High School
Servite High School,High School,Anaheim,CA,USA,1952 W La Palma Ave,92801,(714) 774-7575,052870,,,California High School
Troy High School,High School,Fullerton,CA,USA,2200 E Dorothy Ln,92831,(714) 626-4483,053015,,,California High School
Bonita Vista High School,High School,Chula Vista,CA,USA,751 Otay Lakes Rd,91913,(619) 397-2000,050535,,,California High School
Castle Park High School,High School,Chula Vista,CA,USA,1395 Hilltop Dr,91911,(619) 691-5550,050975,,,California High School
Eastlake High School,High School,Chula Vista,CA,USA,1120 Eastlake Pkwy,91915,(619) 397-1500,051170,,,California High School
Granite Hills High School,High School,El Cajon,CA,USA,1661 Magnolia Ave,92021,(619) 452-5500,051450,,,California High School
Helix Charter High School,High School,La Mesa,CA,USA,7323 University Ave,91942,(619) 668-6000,051670,,,California High School
La Jolla High School,High School,La Jolla,CA,USA,750 Nautilus St,92037,(858) 551-2800,052070,,,California High School
Madison High School,High School,San Diego,CA,USA,4833 Doliva Dr,92117,(858) 496-8370,052147,,,California High School
Mission Bay High School,High School,San Diego,CA,USA,2475 Grand Ave,92109,(858) 273-1313,052150,,,California High School
Poway High School,High School,Poway,CA,USA,15500 Espola Rd,92064,(858) 679-2500,052570,,,California High School
Rancho Bernardo High School,High School,San Diego,CA,USA,13010 Paseo Lucido,92128,(858) 485-0990,052625,,,California High School
Scripps Ranch High School,High School,San Diego,CA,USA,10410 Treena St,92131,(858) 537-1500,052860,,,California High School
Torrey Pines High School,High School,San Diego,CA,USA,3710 Del Mar Heights Rd,92130,(858) 755-0125,053005,,,California High School
American High School,High School,Fremont,CA,USA,36300 Fremont Blvd,94536,(510) 796-1776,050060,,,California High School
Andrew Hill High School,High School,San Jose,CA,USA,3200 Senter Rd,95111,(408) 347-4080,050085,,,California High School
Aragon High School,High School,San Mateo,CA,USA,900 Alameda De Las Pulgas,94402,(650) 558-2650,050145,,,California High School
Balboa High School,High School,San Francisco,CA,USA,1000 Cayuga Ave,94112,(415) 469-4500,050265,,,California High School
Burlingame High School,High School,Burlingame,CA,USA,1 Mangini Way,94010,(650) 558-3800,050790,,,California High School
Capuchino High School,High School,San Bruno,CA,USA,1501 Magnolia Ave,94066,(650) 558-2750,050945,,,California High School
Carlmont High School,High School,Belmont,CA,USA,1400 Alameda De Las Pulgas,94002,(650) 595-0210,050950,,,California High School
Castlemont High School,High School,Oakland,CA,USA,8601 MacArthur Blvd,94605,(510) 879-3060,050980,,,California High School
Evergreen Valley High School,High School,San Jose,CA,USA,3300 Quimby Rd,95148,(408) 347-7000,051270,,,California High School
Fremont High School,High School,Oakland,CA,USA,4610 Foothill Blvd,94601,(510) 434-5257,051360,,,California High School
Gunderson High School,High School,San Jose,CA,USA,622 Gaundabert Ln,95123,(408) 347-7000,051510,,,California High School
Independence High School,High School,San Jose,CA,USA,1776 Educational Park Dr,95133,(408) 928-9500,051805,,,California High School
Lincoln High School,High School,San Francisco,CA,USA,2162 24th Ave,94116,(415) 753-5610,052115,,,California High School
Lick-Wilmerding High School,High School,San Francisco,CA,USA,755 Ocean Ave,94112,(415) 333-4021,052120,,,California High School
Lowell High School,High School,San Francisco,CA,USA,1101 Eucalyptus Dr,94132,(415) 759-2730,052125,,,California High School
Menlo-Atherton High School,High School,Atherton,CA,USA,555 Middlefield Rd,94027,(650) 322-5311,052160,,,California High School
Mills High School,High School,Millbrae,CA,USA,400 Murchison Dr,94030,(650) 697-7345,052180,,,California High School
Mission High School,High School,San Francisco,CA,USA,3750 18th St,94114,(415) 241-6240,052155,,,California High School
Oakland High School,High School,Oakland,CA,USA,1023 MacArthur Blvd,94610,(510) 879-3060,052340,,,California High School
Oak Grove High School,High School,San Jose,CA,USA,285 Blossom Hill Rd,95123,(408) 347-4000,052330,,,California High School
Piedmont High School,High School,Piedmont,CA,USA,800 Magnolia Ave,94611,(510) 594-2695,052510,,,California High School
Pioneer High School,High School,San Jose,CA,USA,1780 Educational Park Dr,95133,(408) 928-9700,052515,,,California High School
San Mateo High School,High School,San Mateo,CA,USA,506 N Delaware St,94401,(650) 558-2299,052780,,,California High School
Sequoia High School,High School,Redwood City,CA,USA,1201 Brewster Ave,94062,(650) 369-1411,052865,,,California High School
Skyline High School,High School,Oakland,CA,USA,12250 Skyline Blvd,94619,(510) 686-4540,052910,,,California High School
South San Francisco High School,High School,South San Francisco,CA,USA,400 B St,94080,(650) 877-8900,052945,,,California High School
Washington High School,High School,Fremont,CA,USA,38442 Fremont Blvd,94536,(510) 657-1016,053115,,,California High School
Westmoor High School,High School,Daly City,CA,USA,131 Westmoor Ave,94015,(650) 550-7900,053175,,,California High School
Burbank High School,High School,Sacramento,CA,USA,3500 Florin Rd,95823,(916) 395-5090,050795,,,California High School
C.K. McClatchy High School,High School,Sacramento,CA,USA,3066 Freeport Blvd,95818,(916) 277-6536,050870,,,California High School
Del Campo High School,High School,Fair Oaks,CA,USA,4925 Dewey Dr,95628,(916) 971-5750,051085,,,California High School
El Camino Fundamental High School,High School,Sacramento,CA,USA,4300 El Camino Ave,95821,(916) 971-7465,051200,,,California High School
Grant Union High School,High School,Sacramento,CA,USA,1400 Grand Ave,95838,(916) 286-3500,051460,,,California High School
Hiram Johnson High School,High School,Sacramento,CA,USA,6879 14th Ave,95820,(916) 433-5200,051720,,,California High School
Luther Burbank High School,High School,Sacramento,CA,USA,3500 Florin Rd,95823,(916) 395-5090,052130,,,California High School
Rio Americano High School,High School,Sacramento,CA,USA,4540 American River Dr,95864,(916) 971-7465,052650,,,California High School
Bullard High School,High School,Fresno,CA,USA,5445 N Palm Ave,93704,(559) 248-7000,050770,,,California High School
Clovis High School,High School,Clovis,CA,USA,1055 Fowler Ave,93611,(559) 327-3000,051010,,,California High School
Edison High School,High School,Fresno,CA,USA,540 E California Ave,93706,(559) 248-7400,051190,,,California High School
Fresno High School,High School,Fresno,CA,USA,1839 R St,93721,(559) 457-2800,051370,,,California High School
Roosevelt High School,High School,Fresno,CA,USA,6365 N Palm Ave,93704,(559) 457-2700,052672,,,California High School
Chino Hills High School,High School,Chino Hills,CA,USA,16150 Pomona Rincon Rd,91709,(909) 606-7540,050995,,,California High School
Corona del Mar High School,High School,Newport Beach,CA,USA,2101 Eastbluff Dr,92660,(949) 515-6500,051065,,,California High School
Etiwanda High School,High School,Rancho Cucamonga,CA,USA,13500 Victoria Ave,91739,(909) 803-3550,051260,,,California High School
Poly High School,High School,Riverside,CA,USA,5450 Victoria Ave,92506,(951) 788-7275,052543,,,California High School
Rancho Cucamonga High School,High School,Rancho Cucamonga,CA,USA,11801 Lark Dr,91701,(909) 484-5000,052630,,,California High School
