School Name,Type,City,State,Country,Address,ZIP,Phone,CEEB Code,Federal School Code,Website,Notes
Abraham Lincoln High School,High School,Los Angeles,CA,USA,3501 N Broadway,90031,(323) 441-3650,052460,,,California High School
Alexander Hamilton High School,High School,Los Angeles,CA,USA,2955 S Robertson Blvd,90034,(310) 280-1400,050010,,,California High School
American High School,High School,Fremont,CA,USA,36300 Fremont Blvd,94536,(510) 796-1776,050060,,,California High School
American River College,Community College,Sacramento,CA,USA,4700 College Oak Dr,95841,(916) 484-8011,001232,001232,,California Community College
Andrew Hill High School,High School,San Jose,CA,USA,3200 Senter Rd,95111,(408) 347-4080,050085,,,California High School
Aragon High School,High School,San Mateo,CA,USA,900 Alameda De Las Pulgas,94402,(650) 558-2650,050145,,,California High School
Balboa High School,High School,San Francisco,CA,USA,1000 Cayuga Ave,94112,(415) 469-4500,050265,,,California High School
Bellus Academy,Trade School,Poway,CA,USA,13266 Poway Rd,92064,(858) 748-1490,,,,California Trade School
Beverly Hills High School,High School,Beverly Hills,CA,USA,241 Moreno Dr,90212,(310) 229-3685,050360,,,California High School
Birmingham Community Charter High School,High School,Van Nuys,CA,USA,17000 Haynes St,91406,(818) 894-5890,050375,,,California High School
Bonita Vista High School,High School,Chula Vista,CA,USA,751 Otay Lakes Rd,91913,(619) 397-2000,050535,,,California High School
Brentwood School,High School,Los Angeles,CA,USA,100 S Barrington Pl,90049,(310) 476-9633,050585,,,California High School
Bullard High School,High School,Fresno,CA,USA,5445 N Palm Ave,93704,(559) 248-7000,050770,,,California High School
Burbank High School,High School,Sacramento,CA,USA,3500 Florin Rd,95823,(916) 395-5090,050795,,,California High School
Burlingame High School,High School,Burlingame,CA,USA,1 Mangini Way,94010,(650) 558-3800,050790,,,California High School
C.K. McClatchy High School,High School,Sacramento,CA,USA,3066 Freeport Blvd,95818,(916) 277-6536,050870,,,California High School
California Culinary Academy,Trade School,San Francisco,CA,USA,350 Rhode Island St,94103,(415) 771-3500,,,,California Trade School
California Institute of Technology,University,Pasadena,CA,USA,1200 E California Blvd,91125,(626) 395-6811,001131,001131,,California University
California Maritime Academy,University,Vallejo,CA,USA,200 Maritime Academy Dr,94590,(707) 654-1000,001134,001134,,California University
"California Polytechnic State University, San Luis Obispo",University,San Luis Obispo,CA,USA,1 Grand Ave,93407,(805) 756-1111,001143,001143,,California University
"California State Polytechnic University, Pomona",University,Pomona,CA,USA,3801 W Temple Ave,91768,(909) 869-7659,001144,001144,,California University
"California State University, Bakersfield",University,Bakersfield,CA,USA,9001 Stockdale Hwy,93311,(661) 654-2782,001118,001118,,California University
"California State University, Channel Islands",University,Camarillo,CA,USA,One University Dr,93012,(805) 437-8400,039803,039803,,California University
"California State University, Chico",University,Chico,CA,USA,400 W First St,95929,(530) 898-6116,001146,001146,,California University
"California State University, Dominguez Hills",University,Carson,CA,USA,1000 E Victoria St,90747,(310) 243-3696,001141,001141,,California University
"California State University, East Bay",University,Hayward,CA,USA,25800 Carlos Bee Blvd,94542,(510) 885-3000,001138,001138,,California University
"California State University, Fresno",University,Fresno,CA,USA,5241 N Maple Ave,93740,(559) 278-4240,001147,001147,,California University
"California State University, Fullerton",University,Fullerton,CA,USA,800 N State College Blvd,92831,(657) 278-2011,001137,001137,,California University
"California State University, Long Beach",University,Long Beach,CA,USA,1250 Bellflower Blvd,90840,(562) 985-4111,001139,001139,,California University
"California State University, Los Angeles",University,Los Angeles,CA,USA,5151 State University Dr,90032,(323) 343-3000,001140,001140,,California University
"California State University, Monterey Bay",University,Seaside,CA,USA,100 Campus Center,93955,(831) 582-3000,032603,032603,,California University
"California State University, Northridge",University,Northridge,CA,USA,18111 Nordhoff St,91330,(818) 677-1200,001153,001153,,California University
"California State University, Sacramento",University,Sacramento,CA,USA,6000 J Street,95819,(916) 278-6011,001233,001233,,California University
"California State University, San Bernardino",University,San Bernardino,CA,USA,5500 University Pkwy,92407,(909) 537-5000,001142,001142,,California University
"California State University, San Marcos",University,San Marcos,CA,USA,333 S Twin Oaks Valley Rd,92096,(760) 750-4000,033224,033224,,California University
"California State University, Stanislaus",University,Turlock,CA,USA,One University Circle,95382,(209) 667-3122,001157,001157,,California University
Canoga Park High School,High School,Canoga Park,CA,USA,6850 Topanga Canyon Blvd,91303,(818) 346-5608,050935,,,California High School
Capuchino High School,High School,San Bruno,CA,USA,1501 Magnolia Ave,94066,(650) 558-2750,050945,,,California High School
Carlmont High School,High School,Belmont,CA,USA,1400 Alameda De Las Pulgas,94002,(650) 595-0210,050950,,,California High School
Castle Park High School,High School,Chula Vista,CA,USA,1395 Hilltop Dr,91911,(619) 691-5550,050975,,,California High School
Castlemont High School,High School,Oakland,CA,USA,8601 MacArthur Blvd,94605,(510) 879-3060,050980,,,California High School
Chapman University,University,Orange,CA,USA,One University Dr,92866,(714) 997-6815,001164,001164,,California University
Chino Hills High School,High School,Chino Hills,CA,USA,16150 Pomona Rincon Rd,91709,(909) 606-7540,050995,,,California High School
City College of San Francisco,Community College,San Francisco,CA,USA,50 Frida Kahlo Way,94112,(415) 239-3000,001287,001287,,California Community College
Claremont McKenna College,University,Claremont,CA,USA,888 Columbia Ave,91711,(909) 621-8000,001170,001170,,California University
Clovis High School,High School,Clovis,CA,USA,1055 Fowler Ave,93611,(559) 327-3000,051010,,,California High School
Corona del Mar High School,High School,Newport Beach,CA,USA,2101 Eastbluff Dr,92660,(949) 515-6500,051065,,,California High School
Crenshaw High School,High School,Los Angeles,CA,USA,5010 11th Ave,90043,(323) 290-6980,051075,,,California High School
De Anza College,Community College,Cupertino,CA,USA,21250 Stevens Creek Blvd,95014,(408) 864-5678,001286,001286,,California Community College
Del Campo High School,High School,Fair Oaks,CA,USA,4925 Dewey Dr,95628,(916) 971-5750,051085,,,California High School
Diablo Valley College,Community College,Pleasant Hill,CA,USA,321 Golf Club Rd,94523,(925) 685-1230,001191,001191,,California Community College
Dorsey High School,High School,Los Angeles,CA,USA,3537 Farmdale Ave,90016,(323) 731-8500,051135,,,California High School
Eastlake High School,High School,Chula Vista,CA,USA,1120 Eastlake Pkwy,91915,(619) 397-1500,051170,,,California High School
Edison High School,High School,Fresno,CA,USA,540 E California Ave,93706,(559) 248-7400,051190,,,California High School
El Camino Fundamental High School,High School,Sacramento,CA,USA,4300 El Camino Ave,95821,(916) 971-7465,051200,,,California High School
El Camino Real Charter High School,High School,Woodland Hills,CA,USA,5440 Valley Circle Blvd,91367,(818) 595-7500,051215,,,California High School
Etiwanda High School,High School,Rancho Cucamonga,CA,USA,13500 Victoria Ave,91739,(909) 803-3550,051260,,,California High School
Evergreen Valley High School,High School,San Jose,CA,USA,3300 Quimby Rd,95148,(408) 347-7000,051270,,,California High School
Fairfax High School,High School,Los Angeles,CA,USA,7850 Melrose Ave,90046,(323) 370-1200,051280,,,California High School
Fashion Institute of Design & Merchandising,Trade School,Los Angeles,CA,USA,919 S Grand Ave,90015,(213) 624-1200,013112,013112,,California Trade School
Foothill College,Community College,Los Altos Hills,CA,USA,12345 El Monte Rd,94022,(650) 949-7777,001199,001199,,California Community College
Foothill High School,High School,Santa Ana,CA,USA,19251 Dodge Ave,92705,(714) 730-7464,051325,,,California High School
Fountain Valley High School,High School,Fountain Valley,CA,USA,17816 Bushard St,92708,(714) 964-7766,051330,,,California High School
Franklin High School,High School,Los Angeles,CA,USA,820 N Avenue 54,90042,(323) 481-7920,051335,,,California High School
Fremont High School,High School,Oakland,CA,USA,4610 Foothill Blvd,94601,(510) 434-5257,051360,,,California High School
Fresno High School,High School,Fresno,CA,USA,1839 R St,93721,(559) 457-2800,051370,,,California High School
Garfield High School,High School,Los Angeles,CA,USA,5101 E 6th St,90022,(323) 581-6501,051405,,,California High School
Glendale Community College,Community College,Glendale,CA,USA,1500 N Verdugo Rd,91208,(818) 240-1000,001203,001203,,California Community College
Granada Hills Charter High School,High School,Granada Hills,CA,USA,10535 Zelzah Ave,91344,(818) 360-2361,051445,,,California High School
Granite Hills High School,High School,El Cajon,CA,USA,1661 Magnolia Ave,92021,(619) 452-5500,051450,,,California High School
Grant Union High School,High School,Sacramento,CA,USA,1400 Grand Ave,95838,(916) 286-3500,051460,,,California High School
Gunderson High School,High School,San Jose,CA,USA,622 Gaundabert Ln,95123,(408) 347-7000,051510,,,California High School
Harvey Mudd College,University,Claremont,CA,USA,301 Platt Blvd,91711,(909) 621-8000,001171,001171,,California University
Helix Charter High School,High School,La Mesa,CA,USA,7323 University Ave,91942,(619) 668-6000,051670,,,California High School
Hiram Johnson High School,High School,Sacramento,CA,USA,6879 14th Ave,95820,(916) 433-5200,051720,,,California High School
Hollywood High School,High School,Los Angeles,CA,USA,1521 N Highland Ave,90028,(323) 993-1700,051740,,,California High School
Humboldt State University,University,Arcata,CA,USA,1 Harpst St,95521,(707) 826-3011,001149,001149,,California University
Huntington Beach High School,High School,Huntington Beach,CA,USA,1905 Main St,92648,(714) 536-2514,051780,,,California High School
Independence High School,High School,San Jose,CA,USA,1776 Educational Park Dr,95133,(408) 928-9500,051805,,,California High School
Irvine High School,High School,Irvine,CA,USA,4321 Walnut Ave,92604,(949) 936-7000,051830,,,California High School
Irvine Valley College,Community College,Irvine,CA,USA,5500 Irvine Center Dr,92618,(949) 451-5100,025395,025395,,California Community College
John Marshall High School,High School,Los Angeles,CA,USA,3939 Tracy St,90027,(323) 671-8001,051990,,,California High School
La Jolla High School,High School,La Jolla,CA,USA,750 Nautilus St,92037,(858) 551-2800,052070,,,California High School
Laguna Beach High School,High School,Laguna Beach,CA,USA,625 Park Ave,92651,(949) 497-7750,052100,,,California High School
Lick-Wilmerding High School,High School,San Francisco,CA,USA,755 Ocean Ave,94112,(415) 333-4021,052120,,,California High School
Lincoln High School,High School,San Francisco,CA,USA,2162 24th Ave,94116,(415) 753-5610,052115,,,California High School
Los Angeles City College,Community College,Los Angeles,CA,USA,855 N Vermont Ave,90029,(323) 953-4000,001222,001222,,California Community College
Lowell High School,High School,San Francisco,CA,USA,1101 Eucalyptus Dr,94132,(415) 759-2730,052125,,,California High School
Loyola Marymount University,University,Los Angeles,CA,USA,1 LMU Dr,90045,(310) 338-2700,001184,001184,,California University
Luther Burbank High School,High School,Sacramento,CA,USA,3500 Florin Rd,95823,(916) 395-5090,052130,,,California High School
Madison High School,High School,San Diego,CA,USA,4833 Doliva Dr,92117,(858) 496-8370,052147,,,California High School
Marinello Schools of Beauty,Trade School,Los Angeles,CA,USA,Multiple Locations,90001,(877) 835-9998,,,,California Trade School
Menlo-Atherton High School,High School,Atherton,CA,USA,555 Middlefield Rd,94027,(650) 322-5311,052160,,,California High School
Mills High School,High School,Millbrae,CA,USA,400 Murchison Dr,94030,(650) 697-7345,052180,,,California High School
Mission Bay High School,High School,San Diego,CA,USA,2475 Grand Ave,92109,(858) 273-1313,052150,,,California High School
Mission High School,High School,San Francisco,CA,USA,3750 18th St,94114,(415) 241-6240,052155,,,California High School
Monroe High School,High School,Sepulveda,CA,USA,9229 Haskell Ave,91343,(818) 830-1700,052190,,,California High School
Mt. San Antonio College,Community College,Walnut,CA,USA,1100 N Grand Ave,91789,(909) 594-5611,001245,001245,,California Community College
Newport Harbor High School,High School,Newport Beach,CA,USA,600 Irvine Ave,92663,(949) 515-6300,052270,,,California High School
Oak Grove High School,High School,San Jose,CA,USA,285 Blossom Hill Rd,95123,(408) 347-4000,052330,,,California High School
Oakland High School,High School,Oakland,CA,USA,1023 MacArthur Blvd,94610,(510) 879-3060,052340,,,California High School
Occidental College,University,Los Angeles,CA,USA,1600 Campus Rd,90041,(323) 259-2500,001249,001249,,California University
Orange Coast College,Community College,Costa Mesa,CA,USA,2701 Fairview Rd,92626,(714) 432-5072,001250,001250,,California Community College
Palisades Charter High School,High School,Pacific Palisades,CA,USA,15777 Bowdoin St,90272,(310) 230-6623,052440,,,California High School
Pasadena City College,Community College,Pasadena,CA,USA,1570 E Colorado Blvd,91106,(626) 585-7123,001268,001268,,California Community College
Paul Mitchell The School,Trade School,Costa Mesa,CA,USA,3333 Bristol St,92626,(714) 754-7277,,,,California Trade School
Pepperdine University,University,Malibu,CA,USA,24255 Pacific Coast Hwy,90263,(310) 506-4000,001264,001264,,California University
Piedmont High School,High School,Piedmont,CA,USA,800 Magnolia Ave,94611,(510) 594-2695,052510,,,California High School
Pioneer High School,High School,San Jose,CA,USA,1780 Educational Park Dr,95133,(408) 928-9700,052515,,,California High School
Pitzer College,University,Claremont,CA,USA,1050 N Mills Ave,91711,(909) 621-8000,001172,001172,,California University
Platt College,Trade School,Ontario,CA,USA,3700 Inland Empire Blvd,91764,(909) 941-9410,,,,California Trade School
